ANO;UF;REGIAO;SEXO;IDADE;ESC;RENDA;RACACOR;P04;P05;P06;P07;P091;P092;P093;P094;P095;P096;P097;P098;P099;P10;P11;P12;P13;P14;P151;P152;P153;P154;P16;P17;P18;P191;P192;P193;P194;P195;P196;P197;P20;P2101;P2102;P2103;P2104;P2105;P2106;P2107;P2108;P2109;P2110;P2111;P221;P222;P223;P224;P225;P226;P227;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33_1;P33_2;N_PESSOAS
2011;11;1;2;1;1;1;4;2;1;2;2;0;0;0;1;0;0;0;0;0;2;1;2;2;1;0;0;1;0;1;7;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1
2011;11;1;2;1;2;1;4;2;2;1;2;0;0;0;1;1;0;0;0;0;3;1;2;2;1;0;1;0;0;1;7;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;1;2;2;1;1;3;2;2;0;1;0;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;1;7;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1
2011;11;1;2;1;2;2;2;1;2;1;2;1;0;0;0;0;0;0;0;0;3;1;2;2;1;0;0;1;0;1;7;1;1;0;0;0;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;1;2;2;2;2;1;1;2;0;0;0;1;0;0;0;0;0;2;1;1;1;1;0;0;1;0;1;7;1;1;0;0;0;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;2;1;1;2;2;1;1;2;0;0;0;1;0;0;1;0;0;2;1;1;2;2;1;0;1;0;2; ;1;1;0;0;0;1;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;2;1;3;4;2;3;3;2;0;0;0;1;0;1;0;0;0;2;1;1;1;1;1;0;0;0;1;3;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2; ;9; ; ; ;3;1;2;2;1
2011;11;1;2;2;2;1;1;2;3;2;2;0;0;1;0;0;1;0;0;0;2;1;1;2;1;0;0;1;0;2; ;1;1;0;1;0;1;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;2;2;2;1;1;3;2;2;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;1;0;0;1;7;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;2;2;2;4;2;1;1;2;0;0;0;1;0;0;0;0;0;2;1;2;1;1;1;0;0;0;1;7;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;2;2;2;4;3;1;1;2;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;1;3;1;1;0;0;0;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1
2011;11;1;2;2;3;1;1;2;2;3;2;1;1;0;0;0;0;0;0;0;2;1;1;2;1;0;0;1;0;1;3;1;1;0;0;0;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;2;3;2;2;2;1;3;2;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;1;7;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;2;3;3;4;2;1;3;2;0;1;0;1;0;0;0;0;0;2;1;1;2;1;0;0;1;0;1;7;1;1;0;0;0;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;2;3;3;4;2;2;1;2;1;0;0;1;0;0;0;0;0;2;1;2;1;1;1;0;0;0;3; ;1;1;0;0;0;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;3;1;2;1;2;2;3;2;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;8;2; ; ; ; ; ; ; ;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2; ;9; ; ; ;4;1;2;2;1
2011;11;1;2;3;1;2;1;3;1;1;2;0;0;0;1;1;1;0;0;0;2;1;1;1;1;1;0;0;0;1;7;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;3;2;1;6;3;1;2;3;0;1;0;1;0;0;0;0;0;1;1;1;1;1;0;0;1;0;1;3;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;3;2;2;2;2;3;3;1;0;1;0;0;1;0;0;0;0;2;1;1;2;1;1;0;0;0;1;7;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
2011;11;1;2;3;2;2;4;2;1;1;2;0;0;0;0;0;0;1;0;0;1;1;1;2;1;1;0;0;0;2; ;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;10;2; ; ;1; ;1; ;4;1;2;2;1
2011;11;1;2;3;2;6;1;2;5;3;1;0;0;0;1;1;0;0;0;0;1;1;2;1;1;1;0;0;0;1;7;1;0;0;0;0;1;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;1
2011;11;1;2;3;3;3;6;2;3;3;2;0;0;0;1;1;0;0;0;0;2;1;1;1;1;0;0;1;0;1;3;1;1;0;0;0;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1
